Name,Address,Rating,Business Status,Place ID,Website
Kinyon Construction,"1533 Betteravia Road, Santa Maria",4.4,OPERATIONAL,ChIJs9YJw4ET7IARxB3jIX-lWt4,http://www.kinyonconstruction.com/
Done Right Kitchen Bathroom Renovation Santa Maria,"1401 Fairway Drive, Santa Maria",5.0,OPERATIONAL,ChIJ1QrPjkBr7IARvs6dv90Tlfs,N/A
RK&G Construction,"1533 Betteravia Road, Santa Maria",5.0,OPERATIONAL,ChIJL9WN2j1r7IARSdyT779z7ww,http://www.rkgconstruction.com/
Taft Electric Co,"2310 A Street unit a, Santa Maria",5.0,OPERATIONAL,ChIJlT5B4gCr7oARHKcwxQJqvl4,http://www.taftelectric.com/
Kirby Morgan,"1430 Jason Way, Santa Maria",4.2,OPERATIONAL,ChIJ13HvJDlr7IARAoalpPqIZo0,https://www.kirbymorgan.com/
Powerstride Battery,"2330 Westgate Road # 1, Santa Maria",4.6,OPERATIONAL,ChIJ7yfjyDhr7IARlczzVqfH1IU,http://powerstridebattery.com/
RDO Water,"2221 Evora Way, Santa Maria",4.7,OPERATIONAL,ChIJM2JJ_5lr7IARU2fny2WgpV8,https://www.rdoequipment.com/locations/santa-maria-ca?utm_source=local&utm_medium=organic&utm_campaign=GMB&y_source=1_NDcwNzcxNy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Golden State Design and Fabrication,"1447 Jason Way, Santa Maria",,OPERATIONAL,ChIJq5POzD5r7IAR9ZRPzAF0zic,http://goldenstatefab.wix.com/home
Safelite AutoGlass,"2220 A Street STE 101, Santa Maria",4.1,OPERATIONAL,ChIJuztxiT5r7IARNBlfengY5p0,https://www.safelite.com/stores/Santa-Maria?utm_source=yext&utm_medium=list&utm_campaign=local&y_source=1_MTc4NzIwNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Clean Lines Cabinetry Inc.,"1360 West McCoy Lane STE 1, Santa Maria",,OPERATIONAL,ChIJ5foCRDhr7IARery5O1zgK54,http://cleanlinescabinetry.com/
Adventure Safaris Dinosaur Warehouse,"1360 West McCoy Lane #11, Santa Maria",3.8,OPERATIONAL,ChIJe2xlVThr7IARCMwlKevOti4,https://www.centralcoastdinosaurs.com/
Hino of Santa Maria,"2340 Westgate Road, Santa Maria",5.0,OPERATIONAL,ChIJVVUVwDhr7IARmxMqwkgvDCw,http://hinoofsantamaria.com/
Corix Utilities,"2350 Westgate Road, Santa Maria",,OPERATIONAL,ChIJ-TbTlDhr7IARzKwpXouzRX8,N/A
ROCK CHIP ARMOR,"2310 Westgate Road STE 16, Santa Maria",4.9,OPERATIONAL,ChIJFft97WVs7IARuD58FQfC_2A,http://www.rockchiparmor.com/
Challen Winery,"2330 Westgate Road, Santa Maria",4.0,OPERATIONAL,ChIJ1wkrtjhr7IARFlUbIKm3Mfk,http://challenwinery.com/
Wineshipping,"1310 West McCoy Lane, Santa Maria",3.3,OPERATIONAL,ChIJUy69U0Zr7IARtlC0DvfXAM4,http://www.wineshipping.com/
Ramsey Asphalt Construction,"1326 Jason Way, Santa Maria",4.8,OPERATIONAL,ChIJF1YtK4ds7IARMNsELxDQJpg,http://www.ramseyasphalt.com/
Mid State Fence,"2310 S, 2310 Westgate Road #17, Santa Maria",4.0,OPERATIONAL,ChIJY0BzSj9r7IARDaTPfsrDZjo,http://www.midstatefencesm.com/
Quintron Systems Inc,"1290 West McCoy Lane, Santa Maria",4.5,OPERATIONAL,ChIJJdnJbkFr7IARdzoxhnLPke8,https://www.quintron.com/
Ramco Enterprises LP,"2224 Westgate Road, Santa Maria",3.8,OPERATIONAL,ChIJ1yEHhEZr7IARyBrwZ2PcLjM,https://ramcoenterpriseslp.com/
SMITH - MECHANICAL * ELECTRICAL * PLUMBING,"1340 Betteravia Road, Santa Maria",3.9,OPERATIONAL,ChIJP4CPYD9r7IARmAhnpcNji4Y,https://smithmep.com/
B & B Label Inc,"2357 Thompson Way, Santa Maria",5.0,OPERATIONAL,ChIJb_pWWUdr7IAR2Q7TCQv2u1g,http://www.bblabel.com/
Santa Maria,Santa Maria,,,ChIJCcZUDKoP7IARjjRaimVS_Qs,http://www.ci.santa-maria.ca.us/
